uf29,BA,m2902005,Aracatu,
uf29,BA,m2902104,Araci,
uf29,BA,m2902203,Aramari,
uf29,BA,m2902252,Arataca,
uf29,BA,m2902302,Aratuípe,
uf29,BA,m2902401,Aurelino Leal,
uf29,BA,m2902500,Baianópolis,
uf29,BA,m2902609,Baixa Grande,
uf29,BA,m2902658,Banzaê,
uf29,BA,m2902708,Barra,
uf29,BA,m2902807,Barra da Estiva,
uf29,BA,m2902906,Barra do Choça,
uf29,BA,m2903003,Barra do Mendes,
uf29,BA,m2903102,Barra do Rocha,
uf29,BA,m2903201,Barreiras,
uf29,BA,m2903235,Barro Alto,
uf29,BA,m2903300,Barro Preto,
uf29,BA,m2903276,Barrocas,
uf29,BA,m2903409,Belmonte,
uf29,BA,m2903508,Belo Campo,
uf29,BA,m2903607,Biritinga,
uf29,BA,m2903706,Boa Nova,
uf29,BA,m2903805,Boa Vista do Tupim,
uf29,BA,m2903904,Bom Jesus da Lapa,
uf29,BA,m2903953,Bom Jesus da Serra,
uf29,BA,m2904001,Boninal,
uf29,BA,m2904050,Bonito,
uf29,BA,m2904100,Boquira,
uf29,BA,m2904209,Botuporã,
uf29,BA,m2904308,Brejões,
uf29,BA,m2904407,Brejolândia,
uf29,BA,m2904506,Brotas de Macaúbas,
uf29,BA,m2904605,Brumado,
uf29,BA,m2904704,Buerarema,
uf29,BA,m2904753,Buritirama,
uf29,BA,m2904803,Caatiba,
uf29,BA,m2904852,Cabaceiras do Paraguaçu,
uf29,BA,m2904902,Cachoeira,
uf29,BA,m2905008,Caculé,
uf29,BA,m2905107,Caém,
uf29,BA,m2905156,Caetanos,
uf29,BA,m2905206,Caetité,
uf29,BA,m2905305,Cafarnaum,
uf29,BA,m2905404,Cairu,
uf29,BA,m2905503,Caldeirão Grande,
uf29,BA,m2905602,Camacan,
uf29,BA,m2905701,Camaçari,
uf29,BA,m2905800,Camamu,
uf29,BA,m2905909,Campo Alegre de Lourdes,
uf29,BA,m2906006,Campo Formoso,
uf29,BA,m2906105,Canápolis,
uf29,BA,m2906204,Canarana,
uf29,BA,m2906303,Canavieiras,
uf29,BA,m2906402,Candeal,
uf29,BA,m2906501,Candeias,
uf29,BA,m2906600,Candiba,
uf29,BA,m2906709,Cândido Sales,
uf29,BA,m2906808,Cansanção,
uf29,BA,m2906824,Canudos,
uf29,BA,m2906857,Capela do Alto Alegre,
uf29,BA,m2906873,Capim Grosso,
uf29,BA,m2906899,Caraíbas,
uf29,BA,m2906907,Caravelas,
uf29,BA,m2907004,Cardeal da Silva,
uf29,BA,m2907103,Carinhanha,
uf29,BA,m2907202,Casa Nova,
uf29,BA,m2907301,Castro Alves,
uf29,BA,m2907400,Catolândia,
uf29,BA,m2907509,Catu,
uf29,BA,m2907558,Caturama,
uf29,BA,m2907608,Central,
uf29,BA,m2907707,Chorrochó,
uf29,BA,m2907806,Cícero Dantas,
uf29,BA,m2907905,Cipó,
uf29,BA,m2908002,Coaraci,
uf29,BA,m2908101,Cocos,
uf29,BA,m2908200,Conceição da Feira,
uf29,BA,m2908309,Conceição do Almeida,
uf29,BA,m2908408,Conceição do Coité,
uf29,BA,m2908507,Conceição do Jacuípe,
uf29,BA,m2908606,Conde,
uf29,BA,m2908705,Condeúba,
uf29,BA,m2908804,Contendas do Sincorá,
uf29,BA,m2908903,Coração de Maria,
uf29,BA,m2909000,Cordeiros,
uf29,BA,m2909109,Coribe,
uf29,BA,m2909208,Coronel João Sá,
uf29,BA,m2909307,Correntina,
uf29,BA,m2909406,Cotegipe,
uf29,BA,m2909505,Cravolândia,
uf29,BA,m2909604,Crisópolis,
uf29,BA,m2909703,Cristópolis,
uf29,BA,m2909802,Cruz das Almas,
uf29,BA,m2909901,Curaçá,
uf29,BA,m2910008,Dário Meira,
uf29,BA,m2910057,Dias d`Ávila,
uf29,BA,m2910107,Dom Basílio,
uf29,BA,m2910206,Dom Macedo Costa,
uf29,BA,m2910305,Elísio Medrado,
uf29,BA,m2910404,Encruzilhada,
uf29,BA,m2910503,Entre Rios,
uf29,BA,m2900504,Érico Cardoso,
uf29,BA,m2910602,Esplanada,
uf29,BA,m2910701,Euclides da Cunha,
uf29,BA,m2910727,Eunápolis,
uf29,BA,m2910750,Fátima,
uf29,BA,m2910776,Feira da Mata,
uf29,BA,m2910800,Feira de Santana,
uf29,BA,m2910859,Filadélfia,
uf29,BA,m2910909,Firmino Alves,
uf29,BA,m2911006,Floresta Azul,
uf29,BA,m2911105,Formosa do Rio Preto,
uf29,BA,m2911204,Gandu,
uf29,BA,m2911253,Gavião,
uf29,BA,m2911303,Gentio do Ouro,
uf29,BA,m2911402,Glória,
uf29,BA,m2911501,Gongogi,
uf29,BA,m2911600,Governador Mangabeira,
uf29,BA,m2911659,Guajeru,
uf29,BA,m2911709,Guanambi,
uf29,BA,m2911808,Guaratinga,
uf29,BA,m2911857,Heliópolis,
uf29,BA,m2911907,Iaçu,
uf29,BA,m2912004,Ibiassucê,
uf29,BA,m2912103,Ibicaraí,
uf29,BA,m2912202,Ibicoara,
uf29,BA,m2912301,Ibicuí,
uf29,BA,m2912400,Ibipeba,
uf29,BA,m2912509,Ibipitanga,
uf29,BA,m2912608,Ibiquera,
uf29,BA,m2912707,Ibirapitanga,
uf29,BA,m2912806,Ibirapuã,
uf29,BA,m2912905,Ibirataia,
uf29,BA,m2913002,Ibitiara,
uf29,BA,m2913101,Ibititá,
uf29,BA,m2913200,Ibotirama,
uf29,BA,m2913309,Ichu,
uf29,BA,m2913408,Igaporã,
uf29,BA,m2913457,Igrapiúna,
uf29,BA,m2913507,Iguaí,
uf29,BA,m2913606,Ilhéus,
uf29,BA,m2913705,Inhambupe,
uf29,BA,m2913804,Ipecaetá,
uf29,BA,m2913903,Ipiaú,
uf29,BA,m2914000,Ipirá,
uf29,BA,m2914109,Ipupiara,
uf29,BA,m2914208,Irajuba,
uf29,BA,m2914307,Iramaia,
uf29,BA,m2914406,Iraquara,
uf29,BA,m2914505,Irará,
uf29,BA,m2914604,Irecê,
uf29,BA,m2914653,Itabela,
uf29,BA,m2914703,Itaberaba,
uf29,BA,m2914802,Itabuna,
uf29,BA,m2914901,Itacaré,
uf29,BA,m2915007,Itaeté,
uf29,BA,m2915106,Itagi,
uf29,BA,m2915205,Itagibá,
uf29,BA,m2915304,Itagimirim,
uf29,BA,m2915353,Itaguaçu da Bahia,
uf29,BA,m2915403,Itaju do Colônia,
uf29,BA,m2915502,Itajuípe,
uf29,BA,m2915601,Itamaraju,
uf29,BA,m2915700,Itamari,
uf29,BA,m2915809,Itambé,
uf29,BA,m2915908,Itanagra,
uf29,BA,m2916005,Itanhém,
uf29,BA,m2916104,Itaparica,
uf29,BA,m2916203,Itapé,
uf29,BA,m2916302,Itapebi,
uf29,BA,m2916401,Itapetinga,
